Start_Time,End_Time,F0_Hz
0.0,0.01,0.0
0.01,0.02,0.0
0.02,0.03,107.79821830428551
0.03,0.04,107.17734625362931
0.04,0.05,107.17734625362931
0.05,0.06,106.56005016284841
0.06,0.07,107.17734625362931
0.07,0.08,107.79821830428551
0.08,0.09,109.05077326652577
0.09,0.1,114.86983549970348
0.1,0.11,116.87772485612456
0.11,0.12,117.55479062836088
0.12,0.13,116.20455869578394
0.13,0.14,114.20823393107715
0.14,0.15,113.55044290708773
0.15,0.16,112.2462048309373
0.16,0.17,114.86983549970348
0.17,0.18,120.99940892192926
0.18,0.19,123.82763603774404
0.19,0.2,123.82763603774404
0.2,0.21,123.82763603774404
0.21,0.22,122.40535433046553
0.22,0.23,120.99940892192926
0.23,0.24,119.60961217374037
0.24,0.25,116.87772485612456
0.25,0.26,0.0
0.26,0.27,0.0
0.27,0.28,0.0
0.28,0.29,0.0
0.29,0.3,0.0
0.3,0.31,0.0
0.31,0.32,0.0
0.32,0.33,0.0
0.33,0.34,0.0
0.34,0.35,0.0
0.35,0.36,0.0
0.36,0.37,105.33610359548358
0.37,0.38,103.52649238413775
0.38,0.39,104.12621525348065
0.39,0.4,104.72941228206267
0.4,0.41,104.72941228206267
0.41,0.42,105.94630943592954
0.42,0.43,106.56005016284841
0.43,0.44,106.56005016284841
0.44,0.45,105.94630943592954
0.45,0.46,105.33610359548358
0.46,0.47,103.52649238413775
0.47,0.48,102.93022366434921
0.48,0.49,105.33610359548358
0.49,0.5,0.0
0.5,0.51,0.0
0.51,0.52,116.20455869578394
0.52,0.53,110.95694720678449
0.53,0.54,105.94630943592954
0.54,0.55,104.12621525348065
0.55,0.56,102.93022366434921
0.56,0.57,101.74796921026864
0.57,0.58,100.0
0.58,0.59,99.42404238175475
0.59,0.6,102.3373891996775
0.6,0.61,103.52649238413775
0.61,0.62,102.93022366434921
0.62,0.63,95.48416039104166
0.63,0.64,96.03729450510042
0.64,0.65,96.59363289248455
0.65,0.66,96.59363289248455
0.66,0.67,97.15319411536059
0.67,0.68,100.0
0.68,0.69,101.74796921026864
0.69,0.7,100.57929410678534
0.7,0.71,100.0
0.71,0.72,99.42404238175475
0.72,0.73,99.42404238175475
0.73,0.74,0.0
0.74,0.75,0.0
0.75,0.76,0.0
0.76,0.77,0.0
0.77,0.78,0.0
0.78,0.79,0.0
0.79,0.8,0.0
0.8,0.81,0.0
0.81,0.82,0.0
0.82,0.83,0.0
0.83,0.84,0.0
0.84,0.85,0.0
0.85,0.86,0.0
0.86,0.87,0.0
0.87,0.88,0.0
0.88,0.89,0.0
0.89,0.9,0.0
0.9,0.91,0.0
0.91,0.92,0.0
0.92,0.93,0.0
0.93,0.94,0.0
0.94,0.95,0.0
0.95,0.96,0.0
0.96,0.97,0.0
0.97,0.98,0.0
0.98,0.99,0.0
0.99,1.0,0.0
1.0,1.01,0.0
1.01,1.02,0.0
1.02,1.03,0.0
1.03,1.04,0.0
1.04,1.05,0.0
1.05,1.06,0.0
1.06,1.07,0.0
1.07,1.08,0.0
1.08,1.09,0.0
1.09,1.1,0.0
1.1,1.11,0.0
1.11,1.12,0.0
1.12,1.13,0.0
1.13,1.14,0.0
1.14,1.15,0.0
1.15,1.16,0.0
1.16,1.17,0.0
1.17,1.18,0.0
1.18,1.19,0.0
1.19,1.2,0.0
1.2,1.21,0.0
1.21,1.22,0.0
1.22,1.23,0.0
1.23,1.24,0.0
1.24,1.25,0.0
1.25,1.26,100.0
1.26,1.27,100.57929410678534
1.27,1.28,100.0
1.28,1.29,100.0
1.29,1.3,99.42404238175475
1.3,1.31,98.85140203528961
1.31,1.32,98.2820598545251
1.32,1.33,98.2820598545251
1.33,1.34,97.71599684342459
1.34,1.35,96.59363289248455
1.35,1.36,96.03729450510042
1.36,1.37,96.03729450510042
1.37,1.38,96.03729450510042
1.38,1.39,96.03729450510042
1.39,1.4,96.59363289248455
1.4,1.41,97.71599684342459
1.41,1.42,97.71599684342459
1.42,1.43,98.2820598545251
1.43,1.44,98.85140203528961
1.44,1.45,99.42404238175475
1.45,1.46,98.85140203528961
1.46,1.47,98.2820598545251
1.47,1.48,97.71599684342459
1.48,1.49,97.15319411536059
1.49,1.5,96.59363289248455
1.5,1.51,95.48416039104166
1.51,1.52,94.38743126816934
1.52,1.53,93.84379966711431
1.53,1.54,92.23161935859392
1.54,1.55,90.64713534281104
1.55,1.56,90.12504626108301
1.56,1.57,89.08987181403393
1.57,1.58,88.57675191023606
1.58,1.59,88.06658735961484
1.59,1.6,88.06658735961484
1.6,1.61,87.55936114058852
1.61,1.62,86.55365610061429
1.62,1.63,86.55365610061429
1.63,1.64,86.05514372443301
1.64,1.65,86.55365610061429
1.65,1.66,87.05505632961241
1.66,1.67,87.05505632961241
1.67,1.68,87.55936114058852
1.68,1.69,88.57675191023606
1.69,1.7,89.08987181403393
1.7,1.71,89.08987181403393
1.71,1.72,89.08987181403393
1.72,1.73,89.08987181403393
1.73,1.74,89.08987181403393
1.74,1.75,89.08987181403393
1.75,1.76,88.57675191023606
1.76,1.77,88.06658735961484
1.77,1.78,87.05505632961241
1.78,1.79,86.05514372443301
1.79,1.8,84.08964152537145
1.8,1.81,83.12378961427878
1.81,1.82,82.16903145857903
1.82,1.83,83.12378961427878
1.83,1.84,86.05514372443301
1.84,1.85,85.55950256826023
1.85,1.86,86.55365610061429
1.86,1.87,86.05514372443301
1.87,1.88,87.55936114058852
1.88,1.89,89.08987181403393
1.89,1.9,90.64713534281104
1.9,1.91,92.76591169413095
1.91,1.92,94.93421209505193
1.92,1.93,96.59363289248455
1.93,1.94,97.71599684342459
1.94,1.95,98.85140203528961
1.95,1.96,100.0
1.96,1.97,100.0
1.97,1.98,102.3373891996775
1.98,1.99,0.0
1.99,2.0,0.0
2.0,2.01,0.0
2.01,2.02,98.85140203528961
2.02,2.03,98.85140203528961
2.03,2.04,94.38743126816934
2.04,2.05,95.48416039104166
2.05,2.06,97.15319411536059
2.06,2.07,95.48416039104166
2.07,2.08,97.71599684342459
2.08,2.09,101.16194403019225
2.09,2.1,101.16194403019225
2.1,2.11,103.52649238413775
2.11,2.12,102.3373891996775
2.12,2.13,101.74796921026864
2.13,2.14,100.0
2.14,2.15,97.71599684342459
2.15,2.16,97.71599684342459
2.16,2.17,97.15319411536059
2.17,2.18,99.42404238175475
2.18,2.19,102.93022366434921
2.19,2.2,104.12621525348065
2.2,2.21,104.72941228206267
2.21,2.22,112.2462048309373
2.22,2.23,100.0
2.23,2.24,97.15319411536059
2.24,2.25,98.2820598545251
2.25,2.26,97.15319411536059
2.26,2.27,96.59363289248455
2.27,2.28,93.84379966711431
2.28,2.29,92.23161935859392
2.29,2.3,90.64713534281104
2.3,2.31,88.57675191023606
2.31,2.32,90.12504626108301
2.32,2.33,91.70040432046711
2.33,2.34,93.84379966711431
2.34,2.35,93.84379966711431
2.35,2.36,96.59363289248455
