Utterance_File,F0_Mean
IT_70_PF51_1ok_utt001.wav,195.67835139531113
IT_70_PF51_1ok_utt002.wav,193.99133408710605
IT_70_PF51_1ok_utt003.wav,197.91651820321596
IT_70_PF51_1ok_utt004.wav,195.09856828730636
IT_70_PF51_1ok_utt005.wav,180.55353711823878
IT_70_PF51_1ok_utt006.wav,197.04251792079432
IT_70_PF51_1ok_utt007.wav,200.3269749910479
IT_70_PF51_1ok_utt008.wav,201.513123681656
IT_70_PF51_1ok_utt009.wav,193.38969405962723
IT_70_PF51_1ok_utt010.wav,193.3807398023486
IT_70_PF51_1ok_utt011.wav,189.80418057351056
IT_70_PF51_1ok_utt012.wav,215.05502869073743
IT_70_PF51_1ok_utt013.wav,188.35455532053925
IT_70_PF51_1ok_utt014.wav,51.07614231391861
IT_70_PF51_1ok_utt015.wav,198.31012694104962
IT_70_PF51_1ok_utt016.wav,193.59476540357977
IT_70_PF51_1ok_utt017.wav,207.73380676503473
IT_70_PF51_1ok_utt018.wav,210.39309028878722
IT_70_PF51_1ok_utt019.wav,195.04587877689315
IT_70_PF51_1ok_utt020.wav,197.41797251158013
IT_70_PF51_1ok_utt021.wav,203.1278206411145
IT_70_PF51_1ok_utt022.wav,190.81969217221769
