Utterance_File,F0_Variance
RT_17_PF44_2_utt001.wav,1336.0767459699505
RT_17_PF44_2_utt002.wav,1462.7499908941666
RT_17_PF44_2_utt003.wav,250.11480345194568
RT_17_PF44_2_utt004.wav,877.3845434459399
RT_17_PF44_2_utt005.wav,615.5880136523077
RT_17_PF44_2_utt006.wav,9672.619072959025
RT_17_PF44_2_utt007.wav,408.2285721317834
RT_17_PF44_2_utt008.wav,1007.7645357392619
RT_17_PF44_2_utt009.wav,1118.809298980795
RT_17_PF44_2_utt010.wav,3337.289334095246
RT_17_PF44_2_utt011.wav,399.39848599296016
RT_17_PF44_2_utt012.wav,1992.7072334294487
RT_17_PF44_2_utt013.wav,1421.514008009538
RT_17_PF44_2_utt014.wav,2733.8569841858525
RT_17_PF44_2_utt015.wav,432.41631432121056
RT_17_PF44_2_utt016.wav,929.5533619175507
RT_17_PF44_2_utt017.wav,2959.906600929828
RT_17_PF44_2_utt018.wav,1105.5622553383585
RT_17_PF44_2_utt019.wav,1357.8872065686633
RT_17_PF44_2_utt020.wav,3548.0958031331625
RT_17_PF44_2_utt021.wav,2265.8371830406513
RT_17_PF44_2_utt022.wav,2716.5438799711415
RT_17_PF44_2_utt023.wav,2091.5281275183083
RT_17_PF44_2_utt024.wav,2410.7648932129114
RT_17_PF44_2_utt025.wav,1005.2201663549321
RT_17_PF44_2_utt026.wav,1667.8793485365861
RT_17_PF44_2_utt027.wav,4723.521591981589
RT_17_PF44_2_utt028.wav,1105.9523213908226
RT_17_PF44_2_utt029.wav,389.1575425967771
RT_17_PF44_2_utt030.wav,385.00329967260126
RT_17_PF44_2_utt031.wav,3505.642318741354
