Utterance_File,F0_Mean
IT_46_PF44_2ok_utt001.wav,220.32058788965767
IT_46_PF44_2ok_utt002.wav,192.7736299334619
IT_46_PF44_2ok_utt003.wav,173.8986338080035
IT_46_PF44_2ok_utt004.wav,188.64954947198083
IT_46_PF44_2ok_utt005.wav,172.25458243610342
IT_46_PF44_2ok_utt006.wav,210.1012756198786
IT_46_PF44_2ok_utt007.wav,183.8392244577789
IT_46_PF44_2ok_utt008.wav,193.60832237465394
IT_46_PF44_2ok_utt009.wav,209.84230575078686
IT_46_PF44_2ok_utt010.wav,0.0
IT_46_PF44_2ok_utt011.wav,0.0
IT_46_PF44_2ok_utt012.wav,203.4310070720747
IT_46_PF44_2ok_utt013.wav,193.63976242497762
